Timestamp,Symbol,LTP,LTQ,Ticks_2min,Ticks_5min,LTQ_2min_avg,LTQ_5min_avg,LTQ_Spike_Ratio,ETQ_5min,ETQ_20min,ETQ_60min,BidQty,AskQty,BidAsk_Imbalance,Volume
2026-08-10 13:31:35.793815,NSE:ANDHRAPAP-EQ,60.62,1,7,16,12.285714285714286,50.375,0.24388514711095358,806,8254,26074,15,24,-0.23076923076923078,54927
2026-08-10 13:31:36.161378,NSE:ANDHRSUGAR-EQ,99.46,99,113,338,201.72566371681415,202.1360946745562,0.9979695315752347,68322,177722,489401,550,68,0.7799352750809061,14069347
2026-08-10 13:31:36.373810,NSE:ANGELONE-EQ,293.55,10,101,263,27.831683168316832,23.634980988593156,1.1775631713750525,6216,9828,68031,184,272,-0.19298245614035087,3056745
2026-08-10 13:21:56.152762,NSE:ANIKINDS-EQ,43.0,1,0,0,,,0.0,0,2,693,1,27,-0.9285714285714286,2327
2026-08-10 13:26:54.768182,NSE:ANNAPURNA-SM,160.9,250,0,2,,250.0,0.0,500,4750,15750,250,250,0.0,35250
2026-08-10 13:31:11.136552,NSE:ANUHPHR-EQ,77.97,1,5,13,8.6,12.538461538461538,0.6858895705521472,163,9364,10478,600,48,0.8518518518518519,86674
2026-08-10 13:21:57.244165,NSE:APCL-EQ,103.96,17,0,0,,,0.0,0,34,278,1,3,-0.5,4187
2026-08-10 13:31:33.687903,NSE:APEX-EQ,377.55,14,8,29,5.0,14.206896551724139,0.3519417475728155,412,478,3428,1,2,-0.3333333333333333,64739
2026-08-10 13:29:15.006350,NSE:APEXECO-ST,285.5,800,0,3,,800.0,0.0,2400,4000,6400,800,800,0.0,9600
2026-08-10 13:31:36.194803,NSE:APOLLO-EQ,387.9,4,67,170,37.19402985074627,38.811764705882354,0.9583184411377487,6598,17630,65829,68,1188,-0.89171974522293,5130381
2026-08-10 13:31:34.268190,NSE:APOLLOTYRE-EQ,449.8,2,38,99,2.236842105263158,2.1515151515151514,1.0396590066716087,213,429,2968,22,2887,-0.9848745273289791,551489
2026-08-10 13:30:22.360876,NSE:APRAMEYA-SM,145.95,500,1,1,500.0,500.0,0.0,500,1500,2500,500,500,0.0,3500
2026-08-10 13:31:32.913736,NSE:APS-SM,247.65,250,16,27,250.0,250.0,1.0,6750,14500,45750,250,500,-0.3333333333333333,19750
2026-08-10 13:21:57.599995,NSE:APSISAERO-ST,475.4,1200,0,0,,,0.0,0,2400,6000,18000,0,1.0,9600
2026-08-10 13:31:14.007771,NSE:APTECHT-BE,95.0,292,3,6,292.0,485.5,0.6014418125643667,2913,9713,12776,186,1168,-0.725258493353028,23245
2026-08-10 13:31:31.388257,NSE:APTUS-EQ,257.25,11,28,78,9.25,23.807692307692307,0.38852988691437806,1857,4669,31784,1677,344,0.6595744680851063,415379
2026-08-10 13:22:36.777185,NSE:ARABIAN-SM,90.0,2000,0,0,,,0.0,0,6000,32000,2000,2000,0.0,36000
2026-08-10 13:31:02.615945,NSE:ARCHIDPLY-EQ,95.96,12,8,14,11.125,32.214285714285715,0.34534368070953436,451,899,7720,113,52,0.3696969696969697,155874
2026-08-10 13:21:56.492572,NSE:ARCIIL-SM,37.5,1000,0,0,,,0.0,0,2000,4000,1000,1000,0.0,0
2026-08-10 13:31:28.643288,NSE:ARENTERP-EQ,37.0,4,1,1,4.0,4.0,0.0,4,16,49,1,46,-0.9574468085106383,1313
2026-08-10 13:30:54.833946,NSE:ARFIN-EQ,88.34,8,8,35,8.0,20.97142857142857,0.38147138964577654,734,90698,92358,170,472,-0.470404984423676,1087129
2026-08-10 13:21:54.706646,NSE:ARHAM-SM,188.8,1000,0,0,,,0.0,0,2000,34000,1000,1000,0.0,45000
2026-08-10 13:30:29.074171,NSE:ARIES-EQ,347.7,55,2,8,55.0,55.0,0.0,440,777,1524,3,6,-0.3333333333333333,7351
2026-08-10 13:21:56.705114,NSE:ARIHANTACA-SM,481.0,400,0,0,,,0.0,0,800,1600,400,400,0.0,0
2026-08-10 13:31:36.227703,NSE:ARIHANTCAP-EQ,76.0,75,41,66,75.0,75.0,1.0,4950,5707,23273,125,300,-0.4117647058823529,86617
2026-08-10 13:29:43.264160,NSE:ARIHANTSUP-EQ,260.9,1,1,1,1.0,1.0,0.0,1,1831,2947,11,7,0.2222222222222222,3631
2026-08-10 13:31:15.434168,NSE:ARIS-EQ,136.0,13,15,34,21.733333333333334,53.05882352941177,0.4096082779009608,1804,8301,31135,85,65,0.13333333333333333,1442402
2026-08-10 13:21:53.831846,NSE:ARISTO-ST,109.3,1600,0,0,,,0.0,0,3200,6400,0,800,-1.0,0
2026-08-10 13:31:31.444499,NSE:ARKADE-EQ,135.5,147,16,40,31.125,148.425,0.2097018696311268,5937,6379,10097,650,5,0.9847328244274809,245071
2026-08-10 13:31:31.704129,NSE:ARTEMISMED-EQ,319.85,208,23,54,84.78260869565217,63.75925925925926,1.3297301392870222,3443,4290,9482,36,14,0.44,371226
2026-08-10 13:21:56.871500,NSE:ARTNIRMAN-EQ,43.25,20,0,0,,,0.0,0,40,190,1,13,-0.8571428571428571,2851
2026-08-10 13:31:33.534924,NSE:ARVEE-EQ,157.38,1,5,7,1.0,1.0,1.0,7,32,173,1,1,0.0,5180
2026-08-10 13:31:34.799725,NSE:ARVINDFASN-EQ,461.15,1,40,92,4.025,3.760869565217391,1.0702312138728325,346,509,1619,1,18,-0.8947368421052632,122013
2026-08-10 13:21:58.591639,NSE:ARVINDPORT-SM,31.25,1500,0,0,,,0.0,0,3000,7500,3000,1500,0.3333333333333333,6000
2026-08-10 13:26:42.254006,NSE:ASAHISONG-BE,359.6,8,0,1,,8.0,0.0,8,24,53,22,93,-0.6173913043478261,4716
2026-08-10 13:24:43.083890,NSE:ASCOM-ST,245.85,500,0,0,,,0.0,0,1500,3000,0,1000,-1.0,1500
2026-08-10 13:21:55.353803,NSE:ASHALOG-SM,60.95,1000,0,0,,,0.0,0,2000,6000,1000,1000,0.0,16000
2026-08-10 13:31:35.160260,NSE:ASHIANA-EQ,383.0,64,11,34,22.90909090909091,95.55882352941177,0.23973810123394612,3249,5163,7745,3,7,-0.4,39537
2026-08-10 13:31:36.758019,NSE:ASHIKAG-EQ,437.55,2,25,91,1.16,36.1978021978022,0.0320461445051609,3294,7794,8756,4,4,0.0,239724
2026-08-10 13:31:34.612142,NSE:ASHOKA-EQ,117.94,12,15,35,13.533333333333333,19.542857142857144,0.6924951267056529,684,3505,35218,373,64,0.7070938215102975,343331
2026-08-10 13:31:36.778020,NSE:ASHOKLEY-EQ,176.0,10,134,258,81.51492537313433,69.51162790697674,1.1726804252408085,17934,35961,97916,576,1218,-0.35785953177257523,10558575
2026-08-10 13:28:30.249179,NSE:ASHWINI-SM,199.0,1000,0,1,,1000.0,0.0,1000,3000,23000,1000,1000,0.0,104000
2026-08-10 13:31:33.798022,NSE:ASIANENE-EQ,406.25,15,28,61,27.642857142857142,18.868852459016395,1.4649993794216207,1151,2065,8146,4,13,-0.5294117647058824,163042
2026-08-10 13:31:02.983854,NSE:ASIANHOTNR-EQ,317.0,5,1,1,5.0,5.0,0.0,5,17,53,1,3,-0.5,14572
2026-08-10 13:29:43.328081,NSE:ASIANTILES-EQ,54.73,399,1,14,399.0,178.35714285714286,0.0,2497,3471,24186,59,273,-0.6445783132530121,2364489
2026-08-10 13:26:54.385867,NSE:ASPINWALL-EQ,232.07,35,0,3,,35.0,0.0,105,269,400,10,8,0.1111111111111111,1265
2026-08-10 13:31:36.457737,NSE:ATALREAL-EQ,35.08,155,11,62,359.8181818181818,214.79032258064515,1.675206673629742,13317,262652,292797,285,112,0.4357682619647355,10901927
2026-08-10 13:24:02.612752,NSE:ATAM-EQ,65.6,1,0,0,,,0.0,0,3,10,58,194,-0.5396825396825397,971
2026-08-10 13:31:17.473926,NSE:ATLANTAA-EQ,41.5,21,2,5,21.0,9.0,0.0,45,965,11312,252,12,0.9090909090909091,154468
2026-08-10 13:25:25.263901,NSE:ATLASCYCLE-EQ,97.08,9,0,0,,,0.0,0,54,418,22,60,-0.4634146341463415,2257
2026-08-10 13:29:32.029968,NSE:ATMASTCO-ST,147.0,400,0,1,,400.0,0.0,400,1200,3600,400,400,0.0,5600
2026-08-10 13:31:01.009127,NSE:AURUM-EQ,228.52,13,19,35,15.473684210526315,12.314285714285715,1.2565636829893758,431,761,2650,1,1,0.0,192479
2026-08-10 13:27:32.170665,NSE:AUSOMENT-BE,141.57,1,0,8,,1.0,0.0,8,10,21,68,47,0.1826086956521739,335
2026-08-10 13:31:36.293910,NSE:AUTOBEES-EQ,308.67,281,60,131,220.66666666666666,167.2824427480916,1.3191262815247482,21914,26717,205707,1,768,-0.9973992197659298,286863
2026-08-10 13:31:33.363718,NSE:AUTOIETF-EQ,30.86,3,26,92,608.1153846153846,252.42391304347825,2.4091037068688537,23223,39089,92156,2353,13488,-0.7029227952780759,563860
2026-08-10 13:30:55.947667,NSE:AUTOIND-BE,93.79,46,6,11,46.0,122.45454545454545,0.37564959168522644,1347,17367,23285,20,709,-0.9451303155006858,88380
2026-08-10 13:29:50.227837,NSE:AVANA-ST,144.4,2000,1,4,2000.0,2000.0,0.0,8000,50000,102000,2000,2000,0.0,8000
2026-08-10 13:31:34.284112,NSE:AVANTEL-EQ,162.55,200,19,60,159.73684210526315,208.81666666666666,0.7649621299637472,12529,17253,52381,100,437,-0.62756052141527,345365
2026-08-10 13:21:58.524138,NSE:AVATAR-ST,207.6,2000,0,0,,,0.0,0,4000,20000,2000,2000,0.0,8000
2026-08-10 13:29:32.013737,NSE:AVG-BE,200.1,65,0,1,,65.0,0.0,65,195,914,55,84,-0.20863309352517986,4321
2026-08-10 13:21:53.462934,NSE:AVIANSH-SM,104.0,1000,0,0,,,0.0,0,2000,6000,1000,1000,0.0,1000
2026-08-10 13:21:56.277757,NSE:AVIENCE-SM,249.75,600,0,0,,,0.0,0,1200,3600,600,600,0.0,9000
2026-08-10 13:31:01.679596,NSE:AVPINFRA-SM,62.1,800,3,8,800.0,800.0,1.0,6400,8000,20800,800,3200,-0.6,16000
2026-08-10 13:21:58.386117,NSE:AVSL-ST,119.7,1000,0,0,,,0.0,0,2000,4000,0,0,0.0,0
2026-08-10 13:31:20.897716,NSE:AVTNPL-EQ,71.7,135,5,9,135.0,113.66666666666667,1.187683284457478,1023,1376,1505,781,19,0.9525,33420
2026-08-10 13:31:15.923931,NSE:AWFIS-EQ,269.95,5,9,18,10.11111111111111,10.666666666666666,0.9479166666666666,192,1426,3740,37,21,0.27586206896551724,98253
2026-08-10 13:31:36.818241,NSE:AWHCL-EQ,415.1,3,23,44,28.82608695652174,20.5,1.4061505832449628,902,999,3026,11,7,0.2222222222222222,122681
2026-08-10 13:31:33.523833,NSE:AWL-EQ,196.29,50,38,106,45.078947368421055,48.74528301886792,0.9247858372464935,5167,10337,33084,235,868,-0.5738893925657298,592867
2026-08-10 13:31:34.893769,NSE:AYE-EQ,176.52,20,29,72,12.931034482758621,10.958333333333334,1.1800183558410908,789,4427,42296,13,8,0.23809523809523808,581238
2026-08-10 13:31:12.235432,NSE:AYMSYNTEX-EQ,259.0,5,5,5,9.2,9.2,1.0,46,79,1101,7,6,0.07692307692307693,20678
2026-08-10 13:31:19.574403,NSE:BAFNAPH-BE,284.5,500,5,5,500.0,500.0,1.0,2500,3500,3590,2000,329,0.7174753112924002,20503
2026-08-10 13:21:56.190765,NSE:BAGDIGITAL-SM,109.6,1600,0,0,,,0.0,0,3200,8000,1600,1600,0.0,0
2026-08-10 13:31:35.076955,NSE:BAGMANE-RR,108.7,9,41,112,16.21951219512195,21.696428571428573,0.7475659941784603,2430,3656,26195,2,1841,-0.9978296256104178,439763
2026-08-10 13:31:30.612513,NSE:BAJAJELEC-EQ,365.45,2,23,55,7.130434782608695,7.236363636363636,0.9853615905615031,398,1352,8888,60,67,-0.05511811023622047,332247
2026-08-10 13:31:19.153757,NSE:BAJAJHCARE-EQ,329.95,2,16,36,31.25,27.27777777777778,1.145621181262729,982,2388,4315,20,7,0.48148148148148145,62465
2026-08-10 13:31:36.423876,NSE:BAJAJHFL-EQ,85.18,24,64,164,58.09375,50.84756097560975,1.1425080944957429,8339,20499,64378,801,409,0.3239669421487603,2281091
2026-08-10 13:31:20.959856,NSE:BAJAJINDEF-EQ,233.49,22,6,10,22.0,22.0,1.0,220,398,834,5,20,-0.6,12094
2026-08-10 13:27:52.823921,NSE:BAJAJST-EQ,392.45,1,0,2,,1.0,0.0,2,68,1516,1,1,0.0,38456
2026-08-10 13:31:36.874924,NSE:BAJEL-EQ,194.82,1,35,102,54.94285714285714,39.166666666666664,1.4027963525835867,3995,12995,182126,1,2,-0.3333333333333333,950437
2026-08-10 13:21:53.818853,NSE:BALAJIPHOS-SM,89.0,3000,0,0,,,0.0,0,6000,15000,1000,2000,-0.3333333333333333,0
2026-08-10 13:31:34.783953,NSE:BALAJITELE-EQ,91.38,24,27,31,318.3333333333333,278.258064516129,1.1440219491459926,8626,12663,71873,26,50,-0.3157894736842105,673273
2026-08-10 13:31:28.916526,NSE:BALMLAWRIE-EQ,174.4,1,13,28,13.846153846153847,23.571428571428573,0.5874125874125874,660,990,10049,21,2,0.8260869565217391,48372
2026-08-10 13:29:10.693957,NSE:BALPHARMA-EQ,90.11,2,0,3,,2.0,0.0,6,38,3946,1,7,-0.75,32980
2026-08-10 13:31:31.367950,NSE:BALUFORGE-EQ,465.25,50,14,43,18.5,31.209302325581394,0.5927719821162445,1342,4299,29925,254,69,0.5727554179566563,712376
2026-08-10 13:28:56.243998,NSE:BANARBEADS-EQ,115.14,331,0,2,,331.0,0.0,662,3320,3974,259,10,0.9256505576208178,1435
2026-08-10 13:31:36.397729,NSE:BANDHANBNK-EQ,173.75,37,74,181,20.445945945945947,46.1767955801105,0.44277533096628574,8358,20485,133610,184,203,-0.04909560723514212,3746582
2026-08-10 13:21:53.627071,NSE:BANG-EQ,30.22,1,0,0,,,0.0,0,2,34,89,62,0.17880794701986755,12462
2026-08-10 13:29:50.550755,NSE:BANKA-EQ,84.5,1,4,9,1.0,1.0,1.0,9,159,220,59,47,0.11320754716981132,2287
2026-08-10 13:31:34.430155,NSE:BANKADD-EQ,59.07,2,35,94,8.514285714285714,40.202127659574465,0.2117869428798246,3779,8322,253453,100,17,0.7094017094017094,36760
